latitude,longitude,iceberg_risk,risk_class,iceberg_count
-43.712605,-37.72961,0.0,0,0
-44.007538,-37.19755,0.0,0,0
-44.299534,-36.658028,0.0,0,0
-44.588398,-36.110733,0.0,0,0
-44.874077,-35.55577,0.0,0,0
-45.156445,-34.99299,0.0,0,0
-45.435387,-34.422348,0.0,0,0
-45.710842,-33.84387,0.0,0,0
-45.982613,-33.25735,0.0,0,0
-46.250713,-32.663,0.0,0,0
-46.514862,-32.06044,0.0,0,0
-46.775166,-31.450079,0.0,0,0
-47.031254,-30.831383,0.0,0,0
-47.28329,-30.204906,0.0,0,0
-47.53086,-29.570036,0.0,0,0
-47.77415,-28.927359,0.0,0,0
-48.012768,-28.276384,0.0,0,0
-48.246834,-27.61754,0.0,0,0
-48.47604,-26.950535,0.0,0,0
-48.700417,-26.27564,0.0,0,0
-48.919746,-25.592743,0.0,0,0
-49.133957,-24.901983,0.0,0,0
-49.34294,-24.203424,0.0,0,0
-49.54652,-23.497068,0.0,0,0
-49.744705,-22.78316,0.0,0,0
-49.93719,-22.061562,0.0,0,0
-50.12411,-21.332695,0.0,0,0
-50.305054,-20.59631,0.0,0,0
-50.48027,-19.852982,0.0,0,0
-50.64922,-19.102352,0.0,0,0
-50.812252,-18.3451,0.0,0,0
-50.968822,-17.58093,0.0,0,0
-51.119232,-16.810436,0.0,0,0
-51.263046,-16.03348,0.0,0,0
-51.40044,-15.250535,0.0,0,0
-51.531105,-14.4616375,0.0,0,0
-51.655098,-13.667143,0.0,0,0
-51.77226,-12.867241,0.0,0,0
-51.882507,-12.062194,0.0,0,0
-51.985832,-11.25232,0.0,0,0
-52.082024,-10.437808,0.0,0,0
-52.17122,-9.619085,0.0,0,0
-52.253056,-8.796285,0.0,0,0
-52.32786,-7.9699173,0.0,0,0
-52.39511,-7.1400857,0.0,0,0
-52.455276,-6.3073416,0.0,0,0
-52.507755,-5.471811,0.0,0,0
-52.553043,-4.634019,0.0,0,0
-52.59064,-3.794181,0.0,0,0
-52.620907,-2.9527462,0.0,0,0
-52.64352,-2.110012,0.0,0,0
-52.658672,-1.2663757,0.0,0,0
-52.66622,-0.42218632,0.0,0,0
-52.66622,0.42218632,0.0,0,0
-52.658672,1.2663757,0.0,0,0
-52.64352,2.110012,0.0,0,0
-52.620907,2.9527462,0.0,0,0
-52.59064,3.794181,0.0,0,0
-52.553043,4.634019,0.0,0,0
-52.507755,5.471811,0.0,0,0
-52.455276,6.3073416,0.0,0,0
-52.39511,7.1400857,0.0,0,0
-52.32786,7.9699173,0.0,0,0
-52.253056,8.796285,0.0,0,0
-52.17122,9.619085,0.0,0,0
-52.082024,10.437808,0.0,0,0
-51.985832,11.25232,0.0,0,0
-51.882507,12.062194,0.0,0,0
-51.77226,12.867241,0.0,0,0
-51.655098,13.667143,0.0,0,0
-51.531105,14.4616375,0.0,0,0
-51.40044,15.250535,0.0,0,0
-51.263046,16.03348,0.0,0,0
-51.119232,16.810436,0.0,0,0
-50.968822,17.58093,0.0,0,0
-50.812252,18.3451,0.0,0,0
-50.64922,19.102352,0.0,0,0
-50.48027,19.852982,0.0,0,0
-50.305054,20.59631,0.0,0,0
-50.12411,21.332695,0.0,0,0
-49.93719,22.061562,0.0,0,0
-49.744705,22.78316,0.0,0,0
-49.54652,23.497068,0.0,0,0
-49.34294,24.203424,0.0,0,0
-49.133957,24.901983,0.0,0,0
-48.919746,25.592743,0.0,0,0
-48.700417,26.27564,0.0,0,0
-48.47604,26.950535,0.0,0,0
-48.246834,27.61754,0.0,0,0
-48.012768,28.276384,0.0,0,0
-47.77415,28.927359,0.0,0,0
-47.53086,29.570036,0.0,0,0
-47.28329,30.204906,0.0,0,0
-47.031254,30.831383,0.0,0,0
-46.775166,31.450079,0.0,0,0
-46.514862,32.06044,0.0,0,0
