id,observations,start,end,duration_days,lat_min,lat_max,lon_min,lon_max
a76h,106,2023-05-12,2023-08-25,105,-55.64,0.0,-41.68,0.0
a76i,17,2023-05-12,2023-05-28,16,-54.16,0.0,-41.96,0.0
a76j,79,2023-05-26,2023-08-25,91,-54.14,0.0,-42.31,0.0
a76k,92,2023-05-26,2023-08-25,91,-54.66,0.0,-38.73,0.0
a76l,91,2023-05-26,2023-08-25,91,-55.81,0.0,-40.13,0.0
a76m,55,2023-06-09,2023-08-04,56,-55.5,0.0,-38.14,0.0
a77,1542,2021-08-20,2025-12-18,1581,-77.85,0.0,-59.32,0.0
a78,729,2021-08-27,2023-08-25,728,-73.56,0.0,-47.87,0.0
a79,98,2022-03-04,2022-06-09,97,-71.17,0.0,-60.54,0.0
a80a,951,2022-12-02,2025-09-03,1006,-72.11,0.0,-60.27,0.0
a80b,36,2022-12-02,2023-01-06,35,-71.58,0.0,-60.33,0.0
a80c,27,2022-12-02,2022-12-30,28,-71.61,0.0,-60.56,0.0
a80d,183,2023-02-24,2023-08-25,182,-72.19,0.0,-59.75,0.0
a81,1143,2023-01-27,2026-04-22,1181,-77.78,0.0,-58.97,0.0
a82,850,2023-12-14,2026-04-22,860,-73.37,0.0,-94.08,0.0
a83,700,2024-05-23,2026-04-22,699,-77.5,0.0,-53.11,0.0
a84,447,2025-01-31,2026-04-22,446,-73.86,0.0,-106.08,0.0
a85,431,2025-02-16,2026-04-22,430,-77.51,0.0,-57.29,0.0
b01,247,1978-07-23,1986-02-02,2751,-73.3111,0.0,-140.1198,0.0
b02,72,1983-01-09,1985-12-29,1085,-76.7,-62.0,-173.5,-130.9
b03,7,1983-01-30,1983-09-11,224,-76.0,-68.9,-177.8,-150.8
b04,33,1983-07-03,1985-02-24,602,-75.6,-60.4,-51.5,-2.5
b05,19,1983-06-19,1987-12-06,1631,-72.7,-71.3,-112.5,-97.8
b05a,3,1990-01-21,1990-09-16,238,-72.6,-72.5,-117.8,-111.9
b06,109,1984-02-26,1991-06-23,2674,-76.8,-63.4,-162.3,-110.0
b07,54,1987-04-12,1989-01-08,637,-73.9,-71.8,-121.0,-109.5
b07a,32,1990-03-25,1991-11-10,595,-77.0,-75.1,-161.8,-153.1
b07b,25,1990-03-25,1992-02-20,697,-74.2,0.0,-179.5,0.0
b08,26,1987-04-12,1990-06-17,1162,-73.3,-72.7,-119.8,-108.5
b09,430,1987-10-11,1989-07-30,658,-78.2,-71.3,-179.4,-161.4
b09a,4457,1989-08-13,2003-10-03,5164,-70.4,0.0,-49.3,168.6
b09b,12452,1989-08-13,2026-04-22,13401,-70.9,0.0,0.0,170.2
b09c,1584,2010-12-05,2015-06-22,1660,-67.1,0.0,0.0,145.19
b09d,2547,2011-04-24,2018-04-13,2546,-74.4333,0.0,-45.9167,143.32
b09e,8,2011-06-19,2011-06-26,7,-66.48,-66.48,142.94,142.96
b09f,2845,2011-08-14,2019-05-28,2844,-74.8167,0.0,-55.0833,143.69
b09g,5061,2012-05-06,2026-04-22,5099,-68.21,0.0,0.0,132.61
b09h,934,2015-05-12,2017-12-03,936,-73.95,0.0,-43.4667,21.78
b09i,2473,2015-10-22,2022-08-03,2477,-73.8333,0.0,-45.92,142.0333
b09j,26,2019-04-19,2019-05-14,25,-57.1667,0.0,-42.1833,0.0
b10,1338,1992-01-12,1995-09-15,1342,-73.7,0.0,-123.1,0.0
b10a,1594,1995-08-13,2000-02-27,1659,-72.3,0.0,-131.9,0.0
b10b,770,1995-08-27,1997-10-21,786,-73.6,0.0,-179.4,0.0
b11,302,1995-02-26,1995-12-30,307,-73.2,0.0,-114.7,0.0
b12,192,1997-02-23,1997-11-20,270,-75.6,0.0,-160.3,0.0
b13,206,1997-02-23,1997-12-17,297,-76.9,0.0,-157.3,0.0
b14,1454,1997-09-28,2001-12-02,1526,-67.1,0.0,-178.0,179.999
b14a,16,2001-03-25,2001-05-27,63,-66.4,-66.3,177.9,178.9
b14b,95,2001-04-29,2001-10-14,168,-66.65,-56.15,-179.8,-152.1
b15,179,2000-03-12,2015-08-28,5647,-78.3,0.0,-171.2,0.0
b15a,3205,2000-05-04,2009-03-27,3249,-77.7,0.0,-179.9888,179.9569
b15aa,2015,2014-09-07,2020-03-16,2017,-74.4833,0.0,-41.3,51.6
b15ab,4149,2014-09-06,2026-03-27,4220,-74.3,0.0,-56.23,51.3333
b15ac,44,2019-01-25,2019-03-09,43,-54.4833,0.0,-28.0167,0.0
b15b,4916,2000-05-04,2014-01-07,4996,-78.5,0.0,-179.9,179.9608
b15c,701,2000-05-04,2002-04-04,700,-78.0,0.0,-179.9892,180.0
b15d,3027,2000-08-13,2008-11-25,3026,-76.6,0.0,-179.9,180.0
b15e,156,2000-08-13,2001-05-20,280,-76.8,0.0,0.0,177.9
b15f,4177,2000-12-10,2013-04-22,4516,-76.93,0.0,-179.4,179.4
b15g,4105,2001-04-29,2012-12-14,4247,-71.0,0.0,-7.87,170.9
b15h,121,2001-05-27,2003-10-24,880,-70.0,0.0,0.0,167.5
b15i,1567,2001-06-10,2010-05-16,3262,-71.8,0.0,0.0,171.95
b15j,2908,2003-10-16,2012-01-09,3007,-77.5,0.0,-179.7523,179.9105
b15j1,26,2011-11-25,2011-12-20,25,-55.9578,-54.0784,-158.7113,-154.1973
b15k,4355,2004-01-04,2016-12-16,4730,-77.82,0.0,-60.4,174.23
b15l,1367,2005-06-26,2009-11-22,1610,-74.68,0.0,-38.77,123.625
b15m,696,2005-10-30,2008-05-18,931,-71.2,0.0,0.0,170.5
b15n,1927,2005-10-30,2011-11-20,2212,-71.95,0.0,0.0,171.9
b15p,349,2005-10-30,2007-03-18,504,-71.9,0.0,0.0,171.6
b15q,860,2006-02-12,2008-12-14,1036,-68.72,0.0,0.0,157.8
b15r,3185,2006-06-25,2016-05-08,3605,-76.35,0.0,-50.82,84.28
b15s,919,2007-01-28,2009-11-22,1029,-76.47,0.0,0.0,172.23
b15t,3855,2007-12-23,2019-04-03,4119,-74.8833,0.0,-53.7167,78.08
b15u,9,2008-03-30,2008-04-20,21,-61.17,-59.67,178.995,179.97
b15v,155,2010-01-24,2010-06-27,154,-65.73,-65.68,55.43,55.48
b15w,36,2011-08-28,2011-10-02,35,-56.43,-54.15,84.09,86.0
b15x,1752,2011-09-25,2016-07-11,1751,-75.6333,0.0,-57.9,46.22
b15y,1075,2012-12-30,2016-07-31,1309,-75.03,0.0,-60.82,0.0
b15z,1370,2014-09-08,2018-06-08,1369,-74.3833,0.0,-51.7,50.73
b16,6716,2000-03-12,2020-02-29,7293,-78.1,0.0,-177.2,171.6
b17,240,2000-04-23,2001-01-04,256,-78.8,0.0,-177.6,0.0
b17a,5166,2000-12-24,2015-06-29,5300,-74.63,0.0,-179.95,179.8948
b17b,3232,2000-12-24,2009-11-05,3238,-73.5,0.0,-175.7,164.2
b18,58,2000-04-02,2001-01-07,280,-78.2,-69.0,-179.3,172.2
b19,962,2000-05-12,2003-02-16,1010,-78.4,0.0,-179.8,179.6869
b21,78,2001-11-11,2002-01-27,77,-74.9,0.0,-103.8,0.0
b21a,3413,2002-01-24,2012-12-02,3965,-74.8,0.0,-119.33,0.0
b21b,517,2002-01-20,2003-10-24,642,-74.7,0.0,-104.57,0.0
b22a,8644,2002-03-22,2026-04-22,8797,-76.36,0.0,-179.17,0.0
b22b,889,2003-01-05,2005-10-02,1001,-74.5,0.0,-142.5,0.0
b22c,53,2003-01-12,2004-10-24,651,-74.8,-72.0,-149.7,-108.8
b22d,9,2002-06-23,2002-08-04,42,-74.2,-74.1,-107.1,-106.8
b22e,12,2003-06-15,2004-02-08,238,-75.6,-73.7,-156.9,-129.7
b22f,617,2024-08-14,2026-04-22,616,-75.9,0.0,-179.9655,179.9853
b22g,602,2024-08-14,2026-04-22,616,-75.54,0.0,-163.87,0.0
b22h,286,2025-07-11,2026-04-22,285,-73.71,0.0,-179.9998,179.934
b22i,286,2025-07-11,2026-04-22,285,-73.85,0.0,-179.9881,179.9524
b23,674,2003-01-05,2005-01-14,740,-74.7,0.0,-109.0,0.0
b24,723,2003-02-09,2005-03-20,770,-74.9,0.0,-109.5,0.0
b25,5,2003-02-09,2003-05-04,84,-74.9,-74.7,-109.9,-108.7
b26,3,2004-02-29,2004-03-28,28,-78.7,-78.4,-170.17,-164.1
b27,2106,2008-01-03,2014-01-30,2219,-75.57,0.0,-169.32,0.0
b28,4141,2010-01-24,2022-12-30,4723,-74.85,0.0,-110.12,0.0
b29,5824,2010-01-24,2026-04-22,5932,-74.72,0.0,-110.75,0.0
b30,2566,2012-05-24,2019-06-21,2584,-75.5333,0.0,-159.35,0.0
b30a,105,2019-06-15,2019-09-27,104,-66.9561,-65.365,-131.7918,-127.7938
b30b,22,2019-06-15,2019-07-06,21,-65.8584,-65.2709,-131.7918,-127.8241
b31,1889,2013-07-06,2018-09-08,1890,-74.8833,0.0,-115.4333,0.0
b31a,122,2018-03-10,2018-07-09,121,-66.3521,-53.2403,-82.0546,-52.9608
b32,320,2014-08-27,2015-07-12,319,-75.22,0.0,-145.98,0.0
b33,86,2015-02-27,2015-05-25,87,-75.02,0.0,-104.8,0.0
